category,rating,label,text_
Books_5,4.0,CG,"When I read a book that has the same title as this one, I just thought, ""Oh my gosh, this is a must read.""  Well, I was wrong.  This book is one of those books that will keep you guessing until the very end.

I love a good mystery with a great twist.  I love the way the story unfolds and the twists and turns that happen with each new twist.  The story was all about the very beginning of the book.  I enjoyed the fact that the author does a great job of pulling the reader in and showing us the world we live in.  The characters are all very well developed and believable.  I found myself rooting for the main character.  It was a great read.

This is a great series and I highly recommend it.This is a book about a teen girl who is obsessed with a girl who is obsessed with the girl who is obsessed with a boy who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who is obsessed with a girl who"
Electronics_5,4.0,CG,Cheap and cheerful. They seem to have the quality of a good pair. Nice little speaker.
Electronics_5,5.0,CG,Tried to get a garage door to open with the instructions but it did not work. I just plugged it in and the garage door opened.  The garage door opened and it was open.  The door still opens.  I am very pleased.I bought this to replace a
Electronics_5,4.0,CG,"After receiving the item, I was pleased with the purchase. I will keep my review in order to share my experiences.  The headphones fit snugly in the ear, so it is not a big issue.  It does not cover my ears, but it does protect my ears.  I love it.Works great. I did not have the problem of having to remove the charger from the charger when I had to use it. I am very pleased with this product.I love this camera!  I love it because the flash is so small, and I don't need to worry about it breaking after a long day or so.  I love the way it fits my camera, and I love that it's small, too.  It also has the zoom feature that I had a few years ago, so I have to keep it on my camera while I shoot in the field.  I really like the fact that the camera will automatically turn off when the lens is fully charged.  It's a great little camera, but I'm a big fan of the Nikon DX-SLR.  I was very excited when I saw that the camera would have a menu on it for setting it up, but the menu was not very clear.  I also got the auto-focus feature.  It's a nice feature, but I found that it was too obvious to use.  It does not appear to be a feature that is useful to me, but I would certainly like to see it in the future.  I was very pleased with the photos I got. "
Books_5,5.0,OR,".......during this peculiar political season - make it this one.

The whole thing - every page - from beginning to end is sardonic and ingeniusly written.  The humor is not restricted to just one format.  There are hilarious forms to fill out, games to play and paragraphs that made me flat-out laugh and giggle.

The phrasing and timing of each ""piece"" is perfect and if you can imagine some of these spoofs on the show it's even more hysterical.  But you never need to have seen the show to enjoy this book and I mean just enjoy it - page after hilarious page."
Clothing_Shoes_and_Jewelry_5,5.0,OR,"i loved this dress, great fit for my 5ft petite frame and amazing colour!"
Electronics_5,5.0,OR,Quick and easy performance upgrade at a great price.  Would recommend to others
Clothing_Shoes_and_Jewelry_5,3.0,OR,"I expected to love this jacket, unfortunately it didn't meet my expectations.  The material was okay, but it felt bulky. And the sizing was off.  Unfortunately my hunt for the perfect red ""leather"" jacket continues."
Clothing_Shoes_and_Jewelry_5,5.0,OR,"Pleasers are always the best, they fit perfect. I do reccomend if you are a size 8 1/2 to go with a size 8 in pleasers, their shoes do run a little big."
Home_and_Kitchen_5,5.0,OR,I gave this as a gift and my daughter loves hers.
Home_and_Kitchen_5,5.0,CG,"the candles look very nice and have the quality to them.

The only reason I gave it 4 stars is"
Home_and_Kitchen_5,2.0,OR,"Well if you're like me you will get the queen size in when you ordered the king. Even the package said king size. The material felt good, but to no avail."
Kindle_Store_5,4.0,CG,"I found immediately a recipe that will make you feel like you are eating delicious food!

While I don't know if I will be able to get past the first few recipes, I definitely recommend this recipe."
Books_5,5.0,OR,Great story.  I have already downloaded the second book.
Home_and_Kitchen_5,5.0,OR,This is a cute little letter rack!  I love it. Well put together too!
Books_5,4.0,CG,"Wasn't. Exactly what I was looking for.

I was expecting a lot more about the characters.
"
Electronics_5,5.0,CG,"This product works great for what it is.  I've had it for a couple of years and it's still working great.  I also bought the TRS-80A and it works great.  It's a little thin, but it's not too big.  The only thing I'd change is to just leave it on the shelf and not put the TRS-80A on top.  I like the idea of putting it on top of the TRS-80A to make it easier to put on.  I'm very pleased with this purchase.I'm a huge fan of the Sony Walkman HD.  I've used it for over a year, and I've never been disappointed.  It's amazing how well the camera feels and how it feels.  I also love that the remote control is on the bottom of the camera.  I love the way the remote control takes a photo and shows it to my iPhone, and the picture is incredible. "
Electronics_5,4.0,CG,"It's a nice case for the money, and it is thick enough to hold a small laptop, but is so small that it's not portable. The plastic case is"
Kindle_Store_5,5.0,CG,I was never the person that thought the author was a good writer.  I think this one is a great one.  I look forward to reading the next one.  I can't wait to see what else happens next.I enjoyed this story. I liked the characters and the storyline. I found myself with a feeling of danger in the end.I love the idea of the story and the characters.  I love the characters and the story.  It's very realistic.  I have to say that I'm looking forward to reading the next one.  I just wish there
Home_and_Kitchen_5,5.0,OR,Quality is amazing. One of the rubber bands that go around the wheel was broken.
Kindle_Store_5,5.0,OR,"Absolutely wonderful. Great characters, great settings, good work the serial format was a bit of a turn off for me at first, but then I became accustomed to it and really was waiting for  every Tuesday to come around so I could ""get my OMWU"" fix."
Electronics_5,4.0,CG,"Although rated for a DSLR, it is an excellent value for the money.  I have used it for two years and it works great.  The sound is crystal clear and it is easy to set up.  I have a Canon 60D with a very good sound.  The only thing I would change is to increase the sound level on the right side of the camera.  I have my Canon 35D and it sounds great on the left.  It is very easy to set up.  I am very happy with the"
Electronics_5,4.0,CG,"I want to correct previous issues with the case, which I did not notice until I received the cover.  I had to replace the case with"
Books_5,3.0,OR,This book rating was selected due to the lengthy details required to explain every issue as it came to pass .
Electronics_5,4.0,OR,I haven't had the need to switch back and forth between my Tivo and Roku yet so I don't know how that will go but the unit seems to work well.
Kindle_Store_5,3.0,OR,I think the relationship should of been built up more between MJ and Noah. It seems they just jumped right into it. One minute he was thinking about killing here and the next she's getting oral sex on the beach. It moved to fast. The whole Aristotle part in the book was od creepy. Didn't understand it. Neither the gypsies part. I would say it gave the book another dimension to it. It was not just about gangs and stuff. Was it needed? To me no. The book started off great and it was funny and kept the reader entertained. But towards the middle it started to get weird. I'm like it's it a dark book or a paranormal book. Not my favorite by Kenya.
Clothing_Shoes_and_Jewelry_5,5.0,CG,"These shirts Are great quality and fit well.  I've worn them for a couple of hours.  The top is a nice, solid material and the shoulders are nice.  The shirt is a little tight on the outside, but they aren't going"
Home_and_Kitchen_5,5.0,OR,I bought this set to mainly use for my lunches.  I prepare my lunches for the week ahead of time and these are perfect for that.  I can also use them for additional food storage in the fridge or pantry if I need to. I have bought many different sets of plastic containers recently trying to find ones that would work for me and also be easy to open and close.  These seem to do the trick and so far I am very happy with them.  Love the orange color too!
Electronics_5,5.0,CG,Great product for the price.  I love the feel of the lens.  The only thing that
Electronics_5,5.0,OR,"This is an ""no brainer"" as it gets for an accessory for the Olympus OMD-E-M5 camera. It not only brings an entirely new ergonomics to the camera (for the better) but adds several more controls enhancing it's professional use to say the least. But build is like Fort Knox perfection. NO gaps and it's solid as a rock once installed. I prefer to use the battery access on the grip altogether than bother with removal to install in the main body. The grip is a HUGE enhancement and you always feel like it's locked in your hands allowing for lower shutter speed shooting as well. If you have a OMD ""Just Get It"" and don't look back"
Books_5,5.0,OR,"I really enjoyed this book.  The depth of characters was amazing, she did an excellent job developing them.  I did not see who the ""bad guy"" was until near the end of the book."
Books_5,3.0,OR,"Adam Schonberg is in medical school and trying to make ends meet without the support of either his or his wife, Jennifer's, parents.  His family was not happy when he married outside the Jewish religion.  Now he finds that their already struggling family of two is about to be a family of three and he doesn't know how to cope or manage financially.  Jennifer will have to quit her job as a dancer and so Adam decides to take a leave of absence from medical school to go work for a drug company.  But all is not what it seems with their fancy corporate headquarters and high dollar paychecks.  Adam soon finds himself in the middle of a corporate plan to take over the field of medicine by drugging and mind controlling as many doctors as the company can get their hands on.  All the while, Adam must deal with the conflict developing between Jennifer and himself because of his suspicions that her OBGYN is drugged as well.

Cook weaves an extremely interesting conspiracy theory about how the business world is beginning to affect medicine and it's treatment, or lack thereof, of patients.  It confronts the  idea that for-profit companies will continue to have an influence on the field of medicine that is not always as positive as these companies would lead you to believe.  The unfortunate aspect of this book was that the story line jumped from idea to idea a bit and often portrays Jennifer in a overly simplistic and patronizing manner.  Just when the adventure really heats up, the story ends abruptly and rather predictably.  A story with a lot of potential ended flat and in disappointment.  Still, one still finishes with the contemplation that Cook intended."
Clothing_Shoes_and_Jewelry_5,3.0,CG,"My daughter is small for a 9 1/2 and I ordered a 9 1/2 and it fits perfectly.  The front part is very small, but the inside is very large.  The material is very soft and comfortable.  I wish it was a bit thicker"
Kindle_Store_5,4.0,CG,"This is a period piece that takes you on a journey of self discovery, self healing and self-help. The author is very experienced in the writing of her writing and is very clear that it is a beautiful story.

I was gifted an ARC copy of this book in exchange for an honest review.

I received this book free in exchange for an honest review.I received a free copy of this book in exchange for an honest review.

This is a very sweet story about a young girl who is given a job as a maid for her father. She is a great student, but her father is a bad guy, and he has been cheating on her for years. She decides to take the job to get away from him, and when she is hired she is taken in by a handsome man.

This story was good, but the characters were just too small.

I recommend this book to anyone who loves a good story about a young"
Electronics_5,5.0,CG,"Installed this about 2 months ago. The only problem is that it's not really a stereo, but a pair of ear buds. The ear buds don't fit comfortably in the ear, but it's a little difficult to hear in a stereo. If you're looking for a good stereo with a good sound quality, look elsewhere. I'm not sure if it's a stereo or not, but I'm sure it's a pair of ear buds. I'd definitely buy another pair if they fit.

Update: I've had a"
Electronics_5,5.0,CG,"Nice sound, easy to install, and the quality is good.

The only reason I gave"
Electronics_5,5.0,OR,I am really happy with shell case. Like how I can clip it to my pants and not have to put it in my pocket anymore. Love the color.
Books_5,4.0,OR,"Sometimes hard to follow and read, I think due to the translations. It was creative an wonderful story following ""the white wolf"" and also reviewing his memories. The characters and are fun and inventive. I would recommend this book to anyone that likes a like fantasy fiction."
Kindle_Store_5,2.0,OR,Basically porn.  But then I did read the whole book.  Not realistic but an escape for a few hours.  I was really put off by the main character is demeaned on several levels.
Books_5,4.0,CG,"Why should you read this book?  It's a good read.  It's a good read.  I think it's a good read.  I think it's a good read.I had no idea that this book would be one of the most popular books in the world.  I found it to be the most entertaining.  I loved it.  It has great characters and plot.  I felt like I was in the story.  It's very realistic.  I thought the ending was a little bit abrupt, but I'm not sure why.  I'm sure it was because the book is so different from other books in the series.  I think it's because I have read the other books.  It's a different story than I've read all of the other books.  It's very different from the other books.  I think it's because I'm not a big fan of the book.  I like the book.  It's very realistic and there is a lot of action in it.  I love the book.  I've read all of the other books in the series and I'm very happy with this one.  It's not a book that I would have read once in a while.  I love how the author has a story line in"
Books_5,4.0,OR,"Somebody to Love is the third book in the Cupid, Texas series by Lorie Wilde.  Jericho Chance is a sexy cowboy turn scholar.  He knows what he wants from life and how he is going to get it.  The only thing that throws him off is how much he wants his best friend Zoe McCleary.  Jericho biggest issue with Zoe is she does not commit to anything.

Zoe McCleary says and does whatever pops into her head.  She is still in school because she has changed her major multiple time.  She is at a point the guardian in charge of her trust tells her to pick something and stick it through or he is giving all her money away.  Zoe comes across as flighty and unreliable.  It seems the one thing that no one sees is that Zoe is head over heels in love with Jericho.  That is the one thing she sticks too.

The chemistry between Zoe and Jericho is blistering.  I loved that they finally acted on their feeling for each other.  The sex scenes were steamy.  My biggest issue with this book is that everyone including Jericho seem to constantly put Zoe down.  While Jericho does, stick up for her he seems to agree with those picking on her.  I wonder if any of those ever thought that Zoe unable to commit had something to do with worrying about what everyone around her was saying and constantly trying to please those around her.

I found this book very well written.  The main and secondary characters were interesting and realistic.  I loved that there was a story line beyond just Zoe and Jericho falling in love with each other.  While I have not read the other books in the series, this book can be read and enjoyed as a standalone novel.  Overall, this was a great story.  I will be picking up the other books in the series shortly."
Books_5,5.0,CG,"Cool premise for a story, and an entertaining story.  I will admit that I was a bit disappointed in this book.  I liked the story, but not the characters.  The premise of the"
Kindle_Store_5,5.0,CG,"I honestly don't know which one of the characters is more annoying.  There is a strong female character that seems to be a bit of a submissive, but there are a lot of male characters that are just not in the same boat as the rest of the characters.  The main female character is a bit more fleshed out, but I felt like I was missing something.  I just didn't feel like I was there for the story.  It's very frustrating to have to go back and re-read the book, but I'm not sure I will be rereading this one.  It's definitely a book that you should read.This was a very good book. I enjoyed it and was looking forward to reading the rest of the series"
Electronics_5,5.0,OR,I couldn't believe how cheap this is for the protection it has. I don't take my tablet out of my house often but i definitely enjoy it's comfort on the couch and in bed. Black is great but I wish I bought a different color because this tablet doesn't stand out the greatest in size. Black is black and it has a cool faux-leather outside with a svelt type inside for the screen.
Clothing_Shoes_and_Jewelry_5,5.0,OR,"I ordered two, and they fit great! They have really made the early-pregnancy process easier- the first trimester is never fun, but at least this way I didn't have to rush right out and get new pants as well. Currently well into the second trimester, and they're still doing a great job of keeping everything covered and pants held up as they should. Great investment, my only regret is that I didn't get any of these the first time around :)"
Home_and_Kitchen_5,4.0,OR,The setup was easy.  Could use a little more instructions but you really do not need them. Works well and looks nice.
